"catalog_version","number","id","name","kind","map_label","role","lens","depth_class","properties","basis","depth","persistence","evidence_class","source_ids","families","summary","inferential_boundary","primary_or_register_source"
"atlas-08","11","drake-passage","Drake Passage","gate","Heat gate","circumpolar transport section","edges","full-column","dynamic","circumpolar transport section","full water column","persistent geometry; variable flow","observational / modeled","O4–O7","oceanrealms | oceanbelts","The narrowest major gate on the circumpolar route. It makes ACC transport measurable and exposes how geometry reorganizes global circulation.","Closing the gate in a model changes many coupled circulations; it is not equivalent to simply sending warm water south.","https://doi.org/10.1175/JCLI-D-15-0554.1"
"atlas-08","12","indonesian-throughflow","Indonesian Throughflow","gate","Archipelagic heat gate","inter-basin exchange","edges","full-column","dynamic","inter-basin exchange","multiple constrained passages","persistent and variable","conceptual","","oceanrealms","A branching tropical gate where land geometry constrains exchange between the Pacific and Indian oceans.","The schematic shape simplifies multiple straits, vertical structure, tides, mixing, and seasonal reversals.","../SOURCE-REGISTER.md"
"atlas-08","13","antarctic-bottom-water","Antarctic Bottom Water","water-mass","Cold bottom water","dense abyssal water mass","waters","bottom","cold | salty","Very cold, dense water formed around Antarctic shelves and margins that spreads into abyssal basins.","bottom; formed around Antarctica","persistent","synthesis","OG01","waters","The coldest major water mass occupies the deepest layer of much of the world ocean—an immense geography hidden from surface maps.","The schematic extent is not its boundary or a claim of uniform properties across every abyssal basin.","https://divediscover.whoi.edu/polar-regions/antarctic-ocean-circulation/"
"atlas-08","14","north-atlantic-deep-water","North Atlantic Deep Water","water-mass","Deep water mass","deep overturning water","waters","deep","cold | salty","Relatively salty deep water assembled from northern-source waters and traced by hydrographic properties.","deep Atlantic; spreads southward","persistent","synthesis","OG02","waters","A basin-spanning deep water mass demonstrates that major ocean countries can lie kilometers below the visible surface.","Its hydrographic core is modified by mixing and does not define a sealed or uniformly moving parcel.","https://www.whoi.edu/science/PO/people/jprice/class/miscart/Stewart2006.pdf"
"atlas-08","15","antarctic-intermediate-water","Antarctic Intermediate Water","water-mass","Fresh intermediate water","intermediate water mass","waters","intermediate","cold | fresh","Cool, relatively fresh Southern Ocean water subducted north of the polar domain and traced at intermediate depth.","roughly 600–1000 m; basin dependent","persistent","synthesis","OG03","waters","A cool, fresh intermediate layer spreads northward beneath warmer surface waters in several basins.","The schematic shape cannot show its branching cores, mixing, or basin-specific definitions.","https://divediscover.whoi.edu/polar-regions/antarctic-ocean-circulation/"
"atlas-08","16","subantarctic-mode-water","Subantarctic Mode Water","water-mass","Mode-water belt","ventilated thermocline water","waters","upper","cold | fresh","Thick, weakly stratified water formed by winter mixing north of the Subantarctic Front.","deep winter mixed layer / upper thermocline","seasonal","synthesis","OG04","waters","A broad Southern Hemisphere mode-water family ventilates the thermocline rather than forming a surface continent.","Formation properties and geographic definitions vary by basin and year.","https://www.gfdl.noaa.gov/bibliography/related_files/jls0401.pdf"
"atlas-08","17","north-pacific-intermediate-water","North Pacific Intermediate Water","water-mass","Fresh intermediate water","North Pacific ventilation layer","waters","intermediate","cold | fresh","A North Pacific salinity-minimum layer formed and transformed in the subpolar–subtropical transition.","intermediate North Pacific","persistent","synthesis","OG05","waters","The North Pacific contains a recognizable intermediate layer even where the surface belongs to a warm gyre.","The salinity-minimum core is not a fixed-edged body or a direct velocity measurement.","https://www.gfdl.noaa.gov/bibliography/related_files/jls0401.pdf"
"atlas-08","18","labrador-sea-water","Labrador Sea Water","water-mass","Ventilated deep water","subpolar mode / deep water","waters","deep","cold | fresh","Weakly stratified water renewed by variable deep winter convection in the Labrador Sea.","intermediate to deep North Atlantic","seasonal","synthesis","OG06","waters","A named subpolar water mass records formation history and ventilation below the surface.","The schematic shape does not show variable formation extent or downstream pathways.","https://www.whoi.edu/science/PO/people/jprice/class/miscart/Stewart2006.pdf"
"atlas-08","19","mediterranean-outflow-water","Mediterranean Outflow Water","water-mass","Salty outflow layer","marginal-sea source water","waters","intermediate","warm | salty","Warm, saline Mediterranean-origin water exits Gibraltar and forms an intermediate salinity maximum.","intermediate eastern North Atlantic","persistent","synthesis","OG07","waters","A narrow gate seeds a much larger salty subsurface signature in the Atlantic.","The schematic shape does not show mixing, meddies, or a measured outflow transport.","https://www.gfdl.noaa.gov/ocean-mesoscale-eddies/"
"atlas-08","20","red-sea-water","Red Sea Water","water-mass","Warm salty source water","marginal-sea outflow water","waters","intermediate","warm | salty","Warm, highly saline water formed by strong evaporation and exported through Bab el-Mandeb.","intermediate western Indian Ocean","persistent","synthesis","OG08","waters","A small marginal sea leaves a traceable intermediate-water signature far beyond its gate.","The schematic shape is not the full outflow plume or a transport estimate.","https://www.ncei.noaa.gov/access/world-ocean-atlas-2023/"
"atlas-08","21","north-pacific-subtropical-gyre","North Pacific Subtropical Gyre","gyre","Rotating current system","subtropical gyre","flows","upper","dynamic","A basin-scale wind-driven system of rotating currents surrounding the subtropical interior.","surface-intensified circulation","persistent","conceptual","OG09","flows","The largest gyre makes an enormous moving province out of water that a heat-only atlas leaves blank.","A gyre is a current system, not homogeneous water or a plastic island.","https://oceanservice.noaa.gov/facts/gyre.html"
"atlas-08","22","south-pacific-subtropical-gyre","South Pacific Subtropical Gyre","gyre","Rotating current system","subtropical gyre","flows","upper","dynamic","A Southern Hemisphere wind-driven current circuit around the subtropical Pacific interior.","surface-intensified circulation","persistent","conceptual","OG10","flows","A vast circulation realm occupies the South Pacific even without a famous thermal nickname.","Its edges shift and do not define a uniform water mass.","https://oceanservice.noaa.gov/facts/gyre.html"
"atlas-08","23","north-atlantic-subtropical-gyre","North Atlantic Subtropical Gyre","gyre","Rotating current system","subtropical gyre","flows","upper","dynamic","A wind-driven current circuit containing the Sargasso Sea and bounded by major currents.","surface-intensified circulation","persistent","conceptual","OG11","flows","Currents organize the North Atlantic interior into a recognizable rotating realm.","The schematic shape is not a fixed gyre center or edge.","https://oceanservice.noaa.gov/facts/gyre.html"
"atlas-08","24","south-atlantic-subtropical-gyre","South Atlantic Subtropical Gyre","gyre","Rotating current system","subtropical gyre","flows","upper","dynamic","A wind-driven clockwise current circuit spanning the subtropical South Atlantic.","surface-intensified circulation","persistent","conceptual","OG12","flows","The basin interior belongs to a circulation system even where no single current line dominates the map.","The gyre is variable and internally heterogeneous.","https://oceanservice.noaa.gov/facts/gyre.html"
"atlas-08","25","indian-ocean-subtropical-gyre","Indian Ocean Subtropical Gyre","gyre","Rotating current system","subtropical gyre","flows","upper","dynamic","A Southern Hemisphere wind-driven current circuit shaped by the Indian basin and monsoon influence.","surface-intensified circulation","persistent","conceptual","OG13","flows","A fifth major subtropical gyre fills much of the Indian Ocean's apparently unlabeled interior.","Seasonal monsoon circulation complicates any static outline.","https://oceanservice.noaa.gov/facts/gyre.html"
"atlas-08","26","antarctic-polar-front","Antarctic Polar Front","front","Water-mass boundary","deep-reaching ACC front","edges","full-column","dynamic | cold","A circumpolar hydrographic front separating Antarctic and subantarctic waters, with multiple diagnostic definitions.","surface expression and deep structure","persistent","observational","OG14","edges","A front gives the Southern Ocean an edge, but it meanders, branches, and leaks rather than forming a wall.","The schematic line cannot represent the front's changing circumpolar path.","https://doi.org/10.5194/essd-8-191-2016"
"atlas-08","27","subantarctic-front","Subantarctic Front","front","Water-mass boundary","northern major ACC front","edges","full-column","dynamic","A major ACC-associated front bounding the Polar Frontal Zone to the north.","surface expression and deep structure","persistent","observational","OG15","edges","Another circumpolar edge shows why the Southern Ocean is a stack of belts rather than one cold ring.","Its surface expression can be weak and its position varies regionally.","https://www.aoml.noaa.gov/phod/goos/xbtscience/ax25_acc.php"
"atlas-08","28","equatorial-pacific-divergence","Equatorial Pacific Divergence","upwelling","Cold nutrient-rich seam","equatorial upwelling zone","edges","upper","cold | nutrient-rich | dynamic","Wind-driven divergence draws cooler, nutrient-rich subsurface water toward the equatorial surface.","surface / upper thermocline","persistent","synthesis","OG16","edges","Some ocean geography is a seam where water rises, not a mass sitting still.","The schematic shape does not diagnose upwelling rate or the changing cold-tongue footprint.","https://oceanservice.noaa.gov/facts/upwelling.html"
"atlas-08","29","mid-atlantic-ridge","Mid-Atlantic Ridge","seafloor","Submerged mountain range","divergent plate boundary","floor","seabed","relief","A long volcanic ridge formed at a divergent plate boundary along the Atlantic basin floor.","seabed","geologic","observational","OG17","floor","The Atlantic has a mountain spine beneath the water that helps organize basins and deep pathways.","A single point cannot show ridge segmentation, transform faults, or water-column effects.","https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/ocean-floor-features"
"atlas-08","30","east-pacific-rise","East Pacific Rise","seafloor","Fast-spreading ridge","divergent plate boundary","floor","seabed","relief","A fast-spreading mid-ocean ridge system forming new Pacific seafloor.","seabed","geologic","observational","OG18","floor","A second submerged mountain system gives the Pacific a hidden structural spine.","The point is only an index to a long segmented ridge system.","https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/ocean-floor-features"
"atlas-08","31","mariana-trench","Mariana Trench","seafloor","Ocean trench","subduction trench","floor","seabed","relief","A very deep, narrow depression formed where one tectonic plate subducts beneath another.","seabed / hadal","geologic","observational","OG19","floor","The deepest ocean geography is a hadal trench—not a surface color or current.","The schematic shape does not represent the trench's full arc or habitat variability.","https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/ocean-floor-features"
"atlas-08","32","kerguelen-plateau","Kerguelen Plateau","seafloor","Submerged plateau","large igneous province / bathymetric obstacle","floor","seabed","relief","A broad elevated seafloor province in the southern Indian Ocean that steers deep and circumpolar flows.","seabed; rises into deep water column","geologic","synthesis","OG20","floor","Submerged plateaus can redirect fronts and currents even though they are invisible at the surface.","The point does not quantify bathymetric steering or delimit the plateau.","https://prod-01-alb-www-noaa.woc.noaa.gov/education/resource-collections/ocean-coasts/ocean-floor-features"
"atlas-08","33","etnp-oxygen-minimum-zone","Eastern Tropical North Pacific OMZ","biogeochemical","Low-oxygen layer","oxygen-minimum zone","life","intermediate","low-oxygen","A persistent subsurface region where oxygen consumption and weak ventilation maintain low concentrations.","roughly 100–1500 m; regional","persistent","observational synthesis","OG21","life","A vast subsurface oxygen geography exists beneath tropical surface waters.","The schematic shape is not a hypoxia threshold contour, habitat forecast, or current measurement.","https://oceanexplorer.noaa.gov/ocean-fact/omz/"
"atlas-08","34","etsp-oxygen-minimum-zone","Eastern Tropical South Pacific OMZ","biogeochemical","Low-oxygen layer","oxygen-minimum zone","life","intermediate","low-oxygen","Low ventilation and biogeochemical oxygen consumption sustain a major eastern tropical subsurface minimum.","subsurface eastern tropical Pacific","persistent","observational synthesis","OG22","life","The southeast Pacific contains a major low-oxygen province layered beneath productive surface waters.","The schematic shape does not encode oxygen concentration, threshold, or vertical extent.","https://repository.library.noaa.gov/view/noaa/26936"
"atlas-08","35","arabian-sea-oxygen-minimum-zone","Arabian Sea OMZ","biogeochemical","Low-oxygen layer","oxygen-minimum zone","life","intermediate","low-oxygen","High productivity, respiration, stratification, and circulation combine to maintain low subsurface oxygen.","subsurface Arabian Sea","persistent","observational synthesis","OG23","life","The Arabian Sea is a named chemical province as well as a geographic sea.","The point is not an oxygen contour and does not imply uniform ecological effects.","https://oceanexplorer.noaa.gov/ocean-fact/omz/"
"atlas-08","36","sargasso-sea","Sargasso Sea","biogeochemical","Oligotrophic gyre province","low-nutrient open-ocean ecosystem","life","upper","nutrient-poor","A clear, nutrient-limited ecosystem within the North Atlantic subtropical gyre, bounded by currents rather than land.","surface / upper ocean","persistent","observational synthesis","OG24","life","The Sargasso Sea proves that an ocean sea can be geographically real without a coastline.","The schematic shape does not delimit a fixed ecosystem boundary or uniform productivity.","https://prod-01-alb-www-noaa.woc.noaa.gov/gc-international-section/marine-protected-areas-mpas-sargasso-sea"
