relation_id,subject_id,predicate,object_id,qualification,status
REL085,OBJ070,bounds,OBJ006,sea-ice cover modifies mixed-layer surface fluxes and momentum transfer,qualified
REL086,OBJ097,part_of,OBJ001,an oxygen minimum zone is a persistent vertically organized layer within seawater,qualified
REL087,OBJ051,overlays,OBJ097,a thresholded hypoxic event can occupy part of a persistent oxygen minimum zone,qualified
REL088,OBJ098,subtype_of,OBJ051,anoxia is the near-absence of oxygen within the broader low-oxygen event family,qualified
REL089,OBJ100,part_of,OBJ001,a deep chlorophyll maximum is a vertically organized layer within seawater,qualified
REL090,OBJ101,subtype_of,OBJ048,a harmful algal bloom is a bloom qualified by toxin nuisance or ecological impact,established
REL091,OBJ102,carried_by,OBJ017,phytoplankton communities are advected and dispersed by currents,qualified
REL092,OBJ048,produced_by,OBJ105,rapid net population accumulation can follow elevated production under suitable loss and transport conditions,qualified
REL093,OBJ105,transforms,OBJ099,primary production consumes dissolved nutrients and moves them into biomass,qualified
REL094,OBJ105,transforms,OBJ103,photosynthetic carbon fixation changes the dissolved inorganic carbon pool,established
REL095,OBJ106,transforms,OBJ103,the biological carbon pump redistributes carbon among surface and interior pools,qualified
REL096,OBJ104,changes_volume_of,OBJ103,air-sea carbon dioxide exchange changes a declared ocean DIC inventory,qualified
REL097,OBJ103,part_of,OBJ035,a DIC pool is defined by integration over a declared control volume,established
REL098,OBJ099,part_of,OBJ035,a nutrient pool is defined by integration over a declared control volume,established
REL099,OBJ025,supports,OBJ105,upwelling can supply nutrients and support primary production when other requirements are met,qualified
REL100,OBJ048,overlays,OBJ054,a bloom event can cross one or more reference biogeochemical provinces,established
REL101,OBJ009,supports,OBJ097,stratification and weak ventilation can support oxygen-minimum persistence,qualified
REL102,OBJ107,measured_across,OBJ032,volume transport is a velocity-area integral across a declared gate,established
REL103,OBJ108,measured_across,OBJ032,heat transport is a reference-declared velocity-temperature-area integral across a gate,established
REL104,OBJ107,part_of,OBJ034,a signed transport branch can partition the total volume transport across a gate,established
REL105,OBJ108,part_of,OBJ034,a signed transport branch can partition the total heat transport across a gate,established
REL106,OBJ109,part_of,OBJ035,ocean heat content is integrated over a declared volume and reference state,established
REL107,OBJ110,changes_volume_of,OBJ109,ocean surface heat flux contributes to heat-content tendency within a declared control volume,qualified
