feature_id,geometry_edition,evidence_class,geometry_basis,provider,product,variable,version,source_url,license_id,compatibility,decision_authority,decision_date,citation,acquired_at,source_checksum,crs,longitude_convention,depth_layer,time_interval,baseline_threshold,missing_values,simplification_tolerance,transform_command,output_checksum,reviewer_status,geometry_path
drake-passage,atlas-08,MODELED/MIXED,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
indonesian-throughflow,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
antarctic-bottom-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG01,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
north-atlantic-deep-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG02,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
antarctic-intermediate-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG03,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
subantarctic-mode-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG04,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
north-pacific-intermediate-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG05,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
labrador-sea-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG06,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
mediterranean-outflow-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG07,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
red-sea-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG08,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
north-pacific-subtropical-gyre,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG09,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
south-pacific-subtropical-gyre,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG10,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
north-atlantic-subtropical-gyre,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG11,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
south-atlantic-subtropical-gyre,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG12,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
indian-ocean-subtropical-gyre,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG13,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
antarctic-polar-front,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG14,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
subantarctic-front,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG15,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
equatorial-pacific-divergence,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG16,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
mid-atlantic-ridge,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG17,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
east-pacific-rise,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG18,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
mariana-trench,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG19,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
kerguelen-plateau,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG20,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
etnp-oxygen-minimum-zone,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG21,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
etsp-oxygen-minimum-zone,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG22,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
arabian-sea-oxygen-minimum-zone,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG23,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
sargasso-sea,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OG24,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
